dimension,auc_mean,auc_std,estimator
66,0.868500816993464,0.0435198639848958,"RandomForestClassifier(ccp_alpha=2.197951357289682e-10, max_depth=150,
                       max_leaf_nodes=98, min_samples_split=13,
                       n_estimators=113, random_state=42)"
67,0.8532271241830065,0.03990327307103222,"RandomForestClassifier(ccp_alpha=1.4994218163901582e-08, max_depth=56,
                       max_leaf_nodes=98, min_samples_split=14,
                       n_estimators=1000, random_state=42)"
68,0.8639930555555557,0.029774514514456563,"RandomForestClassifier(ccp_alpha=7.222710598625344e-06, criterion='entropy',
                       max_depth=150, max_leaf_nodes=200, n_estimators=186,
                       random_state=42)"
69,0.8603472222222223,0.056867971532452,"RandomForestClassifier(ccp_alpha=2.7631583668069373e-10, criterion='entropy',
                       max_depth=56, max_leaf_nodes=50, n_estimators=147,
                       random_state=42)"
70,0.8620138888888889,0.04290319827539042,"RandomForestClassifier(ccp_alpha=6.259234857515104e-05, criterion='entropy',
                       max_depth=18, max_leaf_nodes=200, min_samples_split=8,
                       n_estimators=1000, random_state=42)"
71,0.858860294117647,0.0424132950537722,"RandomForestClassifier(ccp_alpha=3.3240506326109625e-09, criterion='entropy',
                       max_depth=150, max_leaf_nodes=50, min_samples_split=11,
                       n_estimators=1000, random_state=42)"
72,0.8580433006535948,0.03345127061074545,"RandomForestClassifier(ccp_alpha=0.003280991593801825, criterion='entropy',
                       max_depth=150, max_leaf_nodes=50, min_samples_split=11,
                       n_estimators=1000, random_state=42)"
73,0.8562336601307189,0.03762605811344456,"RandomForestClassifier(ccp_alpha=4.0350822543004716e-08, criterion='entropy',
                       max_depth=125, max_leaf_nodes=165, min_samples_split=26,
                       n_estimators=117, random_state=42)"
74,0.8621323529411764,0.049464973690662675,"RandomForestClassifier(ccp_alpha=2.1632401870485927e-08, max_depth=150,
                       max_leaf_nodes=200, n_estimators=105, random_state=42)"
75,0.8532761437908496,0.04138096413221214,"RandomForestClassifier(ccp_alpha=1.2689635506464255e-07, max_depth=25,
                       max_leaf_nodes=157, min_samples_split=3,
                       n_estimators=626, random_state=42)"
76,0.856045751633987,0.04224741061031455,"RandomForestClassifier(ccp_alpha=8.198148038097312e-10, criterion='entropy',
                       max_depth=50, max_leaf_nodes=109, min_samples_split=27,
                       n_estimators=184, random_state=42)"
77,0.8574101307189542,0.04355311314984681,"RandomForestClassifier(ccp_alpha=0.0003936876146417422, criterion='entropy',
                       max_depth=150, max_leaf_nodes=50, n_estimators=515,
                       random_state=42)"
78,0.859342320261438,0.049290543638244255,"RandomForestClassifier(ccp_alpha=9.792215291395765e-05, criterion='entropy',
                       max_depth=108, max_leaf_nodes=123, min_samples_split=3,
                       n_estimators=482, random_state=42)"
79,0.852704248366013,0.040382020013479854,"RandomForestClassifier(ccp_alpha=2.627092333956038e-07, max_depth=150,
                       max_leaf_nodes=50, min_samples_split=16,
                       n_estimators=1000, random_state=42)"
80,0.8586560457516338,0.037486316200250405,"RandomForestClassifier(ccp_alpha=1.2875940290198886e-08, max_depth=150,
                       max_leaf_nodes=200, n_estimators=149, random_state=42)"
81,0.8532598039215685,0.03871177554919344,"RandomForestClassifier(ccp_alpha=5.64356726075115e-10, max_depth=90,
                       max_leaf_nodes=200, n_estimators=842, random_state=42)"
82,0.8592892156862744,0.04003323078852431,"RandomForestClassifier(ccp_alpha=0.0024833752122391454, criterion='entropy',
                       max_depth=99, max_leaf_nodes=132, min_samples_leaf=2,
                       min_samples_split=7, n_estimators=184, random_state=42)"
83,0.8567156862745098,0.05380520470547681,"RandomForestClassifier(ccp_alpha=0.0024833752122391454, criterion='entropy',
                       max_depth=99, max_leaf_nodes=132, min_samples_leaf=2,
                       min_samples_split=7, n_estimators=184, random_state=42)"
84,0.8574142156862745,0.03855735823289758,"RandomForestClassifier(ccp_alpha=1.1392703045487427e-08, max_depth=150,
                       max_leaf_nodes=175, n_estimators=1000, random_state=42)"
85,0.8506209150326797,0.03426633048034148,"RandomForestClassifier(ccp_alpha=1.0981193855941334e-09, max_depth=150,
                       max_leaf_nodes=146, min_samples_split=9,
                       n_estimators=930, random_state=42)"
86,0.8599795751633987,0.05220202434551547,"RandomForestClassifier(ccp_alpha=1e-10, criterion='entropy', max_depth=150,
                       max_leaf_nodes=50, n_estimators=123, random_state=42)"
87,0.8596977124183006,0.05310277523344828,"RandomForestClassifier(ccp_alpha=9.464199916060217e-10, max_depth=150,
                       max_leaf_nodes=153, n_estimators=84, random_state=42)"
88,0.8610294117647059,0.038665807129168575,"RandomForestClassifier(ccp_alpha=0.001049110919202923, max_depth=150,
                       max_leaf_nodes=200, min_samples_split=11,
                       n_estimators=1000, random_state=42)"
89,0.8616013071895425,0.030026621685541658,"RandomForestClassifier(ccp_alpha=1.2216166435245732e-07, max_depth=12,
                       max_leaf_nodes=200, min_samples_split=6, n_estimators=10,
                       random_state=42)"
90,0.8543913398692811,0.04572212243369895,"RandomForestClassifier(ccp_alpha=0.0011759302411174632, criterion='entropy',
                       max_depth=150, max_leaf_nodes=145, min_samples_split=12,
                       n_estimators=339, random_state=42)"
91,0.8540400326797386,0.04318014295279449,"RandomForestClassifier(ccp_alpha=1e-10, criterion='entropy', max_depth=150,
                       max_leaf_nodes=200, n_estimators=1000, random_state=42)"
92,0.8623815359477124,0.048986557656046335,"RandomForestClassifier(ccp_alpha=2.7252342415888164e-05, max_depth=150,
                       max_leaf_nodes=200, n_estimators=332, random_state=42)"
93,0.8622385620915033,0.04834497712584322,"RandomForestClassifier(ccp_alpha=1e-10, max_depth=141, max_leaf_nodes=50,
                       n_estimators=253, random_state=42)"
94,0.8627818627450979,0.040785801577323436,"RandomForestClassifier(ccp_alpha=0.005221543868287754, criterion='entropy',
                       max_depth=136, max_leaf_nodes=150, n_estimators=1000,
                       random_state=42)"
95,0.8580514705882353,0.04756446013731621,"RandomForestClassifier(ccp_alpha=2.815567426651622e-07, max_depth=150,
                       max_leaf_nodes=94, n_estimators=1000, random_state=42)"
